ID,UNNAMED: 1,LONGITUDE,LATITUDE,NAME
01BIR0114,,96.8709,5.2024,LEUBU_MESJID_ST
01BIR0115,,96.7519,5.2281,PULO_NALEUNG_TB
01BKJ0001,,97.3427,4.0059,BUSTANUSSALAM_MT
01BKJ0006,,97.3493,3.9801,SEPANG_BKJ_PL
01BKJ0007,,97.331,3.9952,KESBANGPOL_BKJ_PL
01BKJ0008,,97.3755,3.9973,TAMAN_MAKAM_BKJ_PL
01BKJ0009,,97.2033,4.1526,DARUL_ISTIQOMAH_BKJ_PL
01BKJ0010,,97.3416,3.9887,PENDOPO_BUPATI_BKJ_PL
01BKJ0011,,97.3407,3.9973,SIMPANG_BLANGPENGAYON_PL
01BKJ0012,,97.3538,4.0187,BADAK_DEBUN_GELANG_MT
01BKJ0013,,97.3493,3.9653,PENGGALANGAN_BKJ_PL
01BKJ0014,,97.3862,3.9172,EKOWISATA_AGUSEN_BKJ_MT
01BKJ0015,,97.3033,4.0122,KUTAPANJANG_KULUN_TANOH_MT
01BKJ0016,,97.369,3.953,GAYO_LUWES_AIRPORT_TB
01BKJ0017,,97.2731,4.0165,KORAMIL_BLANGJERANGO_TB
01BKJ0018,,97.3091,3.9819,CINTA_MAJU_BLANGPEGAYON_PL
01BMH0001,,96.7326,4.7685,LAMPAHAN_EP
01BMH0002,,96.7367,4.9052,BLANG_RAKAL_EP
01BMH0008,,96.8865,4.7407,BENER_MERIAH_EP
01BMH0010,,96.9194,4.7571,BDR_B_MERIAH_TB
01BMH0011,,96.7577,4.7601,MEKAR_AYU_PL
01BMH0012,,96.799,4.7277,SIMPANG_BALEK_TB
01BMH0013,,96.8502,4.6846,BLANG_PANAS_MT
01BMH0014,,96.859,4.7251,BUKIT_BALE_ATU_ST
01BMH0015,,96.8654,4.7056,KUTE_TANYUNG_MT
01BMH0016,,96.9081,4.7543,SIMPANG_UTAMA_ST
01BMH0017,,96.8161,4.7124,WIH_PESAM_MT
01BMH0018,,96.7358,4.8168,RERONGA_MT
01BMH0019,,96.9206,4.7854,BENER_PEPANYI_MT
01BMH0020,,96.7495,4.7253,BLANG_PAKU_TB
01BMH0021,,96.9134,4.8189,GELAMPANG_TB
01BMH0022,,96.8718,4.7216,BLANG_SENTANG_BUKIT_PK
01BMH0024,,96.9,4.7512,BANDAR_BENER_MERIAH_MT
01BMH0025,,96.7602,4.7689,TIMANG_GAJAH_MT
01BMH0027,,96.9164,4.7355,HAKIMWIHILANG_BANDAR_MT
01BMH0028,,96.9432,4.7584,PAKAT_JEROH_BANDAR_TB
01BPD0001,,96.6929,3.9036,RBLPIDIE_EP
01BPD0002,,96.7647,3.8177,KUTA_BAHAGIA_TB
01BPD0003,,96.7923,3.7879,KRUENG_BATEE_PL
01BPD0004,,96.8178,3.7238,SUSOH_TB
01BPD0005,,96.8382,3.7372,BLANG_PIDI_EP
01BPD0006,,96.8651,3.6964,UJUNGTANAH_SETIA_TB
01BPD0007,,96.8816,3.6815,TANGAN_TANGAN_CUT_TB
01BPD0008,,96.9056,3.6654,TANJUNG_BUNGO_BPD_TB
01BPD0009,,96.9116,3.6331,PANTON_MAKMUR_MT
01BPD0010,,96.9318,3.5872,LADANG_TUHA_BPD_PL
01BPD0011,,96.9389,3.6174,RLAB_HAJI_TB
01BPD0012,,96.9559,3.6031,KAYEE_ACEH_MT
01BPD0013,,96.8567,3.7215,LAM_KUTA_TB
01BPD0014,,96.9119,3.6514,BINEH_KRUENG_TB
01BPD0015,,96.8144,3.7761,JEUMPA_BARAT_MT
01BPD0016,,96.7464,3.8427,ALUE_PEUNAWA_TB
01BPD0017,,96.8347,3.7485,SEUNALOH_TB
01BPD0018,,96.8005,3.7447,UJUNG_PADANG_BPD_TB
01BPD0025,,96.8332,3.7336,PADANG_HILIR_BPD_MT
01BPD0026,,96.9301,3.6072,BLANG_MANGGENG_TB
01BPD0027,,96.7053,3.8729,TUGU_COTSEUMANTOK_PL
01BPD0028,,96.8409,3.7091,SANGKALAN_RUBEK_CM
01CAG0003,,95.3706,5.0937,LAMNO_TB
01CAG0006,,95.5785,4.6351,CALANG_EP
01CAG0008,,95.8138,4.4522,TEUNOM_TB
01CAG0009,,95.346,5.0737,MEUNASAH_TUTONG_ST
01CAG0010,,95.6459,4.6014,KEUDE_KRUENGSABEE_PL
01CAG0011,,95.7197,4.538,KEUDE_PANGA_MT
01CAG0012,,95.8633,4.4716,TEUNOM2_PL
01CAG0013,,95.8387,4.4257,PAYABARO_TEUNOM_MT
01CAG0014,,95.7948,4.4711,AROEN_MANYANG_MT
01CAG0015,,95.5154,4.8307,UJONG_RIMBA_MT
01CAG0016,,95.4605,4.7859,BLANG_DALAM_SAMPOINLET_MT
01CAG0017,,95.5156,4.7093,KRUENG_LHO_GLUMBANG_CM
01JHO0001,,95.0793,5.6696,PULO_ACEH_TB
01JHO0002,,95.2348,5.4932,PANTAI_LAMPUUK_MT
01JHO0003,,95.2396,5.4741,LHOK_NGA_EP
01JHO0004,,95.2411,5.4377,RTO_LHOKNGA_PL
01JHO0006,,95.2498,5.5029,LHOKNGA_PL
01JHO0007,,95.2557,5.544,LAMBARO_NEUJID1_MT
01JHO0008,,95.2575,5.4886,ANEUKPAYA_ACEHBESAR_PL
01JHO0009,,95.2616,5.4936,KUEH_MT
01JHO0011,,95.2641,5.2303,LHONG_TB
01JHO0012,,95.2657,5.5442,LAMBARO_NEUJID2_PL
01JHO0013,,95.2662,5.5028,RTO_PEUKANBADA_MT
01JHO0014,,95.2706,5.5119,LAMPISANG_MT
01JHO0015,,95.2722,5.524,ULEE_PATTA_PL
01JHO0016,,95.2765,5.5328,JLBANDA_ACEHBESAR_PL
01JHO0017,,95.2774,5.5239,PEUKAN_BADA1_TB
01JHO0018,,95.2818,5.5324,PEUKAN_BADA_MT
01JHO0019,,95.2834,5.5263,EMPEROM_DUSUNINDAH_TB
01JHO0020,,95.2836,5.5207,LAMPASI_ENGKING_TB
01JHO0021,,95.2882,5.5243,JAVATEL_AJUEN_ST
01JHO0023,,95.2942,5.522,DUSUN_INDAH_MT
01JHO0024,,95.2989,5.5105,LHEUEBANDA_ACEH_TB
01JHO0025,,95.3015,5.5009,LEU_UE2_ST
01JHO0026,,95.3032,5.5069,LEU_UE1_PL
01JHO0027,,95.3044,5.5127,POSMEUSARA_AGUNG_PL
01JHO0028,,95.3074,5.516,LAMBHEU_ACEH_PL
01JHO0029,,95.3095,5.496,ULEE_LUENG_TB
01JHO0030,,95.3097,5.5113,KEUTAPANG_JHO_ST
01JHO0031,,95.3105,5.5041,SIMPANGPUNLE_TB
01JHO0032,,95.3193,5.504,TUAN_DILAGA_LAMTHEUN_PL
01JHO0033,,95.3215,5.5098,TINGKEM1_TB
01JHO0034,,95.325,5.4995,TINGKEM2_TB
01JHO0035,,95.3261,5.5171,LAMPEUNURUT_PL
01JHO0037,,95.3299,5.5051,KETAPANG_JHO_TB
01JHO0038,,95.3313,5.5251,LAMCOT1_MT
01JHO0039,,95.3339,5.4934,LAMPEUNERUT_NEUSAK_PL
01JHO0040,,95.3356,5.5166,ROTVRI_ACEH_TB
01JHO0041,,95.3361,5.5022,PRADA_PINEUNG_TB
01JHO0042,,95.3374,5.5091,LAGANG_LAMBLANG_PL
01JHO0043,,95.3389,5.4774,PUEKANBILUY_TB
01JHO0044,,95.3393,5.5269,LAMCOT2_MT
01JHO0045,,95.3444,5.5168,REULOH1_MT
01JHO0046,,95.3488,5.5225,REULOH2_MT
01JHO0047,,95.349,5.5333,BATOH_JHO_PL
01JHO0048,,95.3496,5.5112,MEUNASAH_MANYET_MT
01JHO0049,,95.3544,5.4698,LAMJAMEE_DAYAH_PL
01JHO0050,,95.3548,5.5295,SANTAN_ST
01JHO0052,,95.357,5.4945,ASRAMA_RAIDER_PL
01JHO0053,,95.3572,5.5368,KISSFM_LAMBARO_TB
01JHO0054,,95.3578,5.5094,LAMBARO_EP
01JHO0055,,95.3607,5.5269,MEUNASAH_KRUENG_PL
01JHO0056,,95.3616,5.5887,BAET_MT
01JHO0057,,95.3626,5.5213,JURONG_PEUJERA_MT
01JHO0058,,95.3628,5.5149,TANGGUL_KREUNG_PL
01JHO0059,,95.3634,5.5602,LAMRENG_TB
01JHO0060,,95.3638,5.5642,MEUNASAH_PAPEUN_MT
01JHO0061,,95.3649,5.5514,LAMGAPANG_ACEH_MT
01JHO0062,,95.3654,5.5001,BAYU_TB
01JHO0063,,95.3655,5.5437,KRUENG_BARUNA_MT
01JHO0064,,95.3679,5.4557,DESA_LAMBIRAH_PL
01JHO0065,,95.369,5.5557,MEUNASAH_BAKTRIENG_ST
01JHO0066,,95.3693,5.5913,CADEK_CM
01JHO0067,,95.3699,5.5351,MOMBRUK_ST
01JHO0068,,95.3714,5.4936,TUMPUK2_TB
01JHO0069,,95.3737,5.5658,SYAHKUALA1_TB
01JHO0070,,95.3738,5.5503,RUMPET_KRUENG_PL
01JHO0071,,95.3741,5.5747,TANJONG_SELAMAT_PL
01JHO0072,,95.3759,5.5939,KAJHU_BAITUSALAM_PL
01JHO0073,,95.3771,5.5759,MIRUEK_TAMAN_PL
01JHO0074,,95.3778,5.5052,DHAM_PULO_MT
01JHO0075,,95.3787,5.5673,SYAHKUALA2_CM
01JHO0076,,95.3788,5.4951,LUBUKGAPUY_ACEHBESAR_PL
01JHO0077,,95.381,5.6019,CUTPAYA_MT
01JHO0078,,95.3815,5.5709,JAVATEL_TUNGKEB_ST
01JHO0079,,95.3849,5.5949,TANJUNG_DEAH_TB
01JHO0080,,95.3855,5.5296,UNIDA_TB
01JHO0081,,95.3859,5.5165,TEBANG_PHUI_INGIN_JAYA_PL
01JHO0082,,95.3861,5.4706,SIBREH_MT
01JHO0083,,95.3869,5.5636,LAMPUK_DARUSSALAM_PL
01JHO0084,,95.3874,5.5102,BLANGBINTANG_MT
01JHO0085,,95.3876,5.5758,LAMBITRA_MT
01JHO0086,,95.3886,5.6031,LAMBARO_ANGAN_PL
01JHO0087,,95.3908,5.5906,LAMPEUDAYA_ACEH_TB
01JHO0088,,95.3909,5.6105,LAMBADA_LHOK_TB
01JHO0089,,95.3911,5.5982,CUTPAYA_MIRUEKTAMAN_PL
01JHO0090,,95.3918,5.4874,UTARA_MONTASIEK_TB
01JHO0091,,95.3921,5.4536,DILI_BUKTI_PL
01JHO0092,,95.3929,5.5812,LAMBADAPEUKAN_MT
01JHO0093,,95.3956,5.5687,LAMREH_ACEH_MT
01JHO0094,,95.3961,5.5442,GAMPONG_ILLIE_JHO_TB
01JHO0095,,95.3966,5.5366,UJUNG_BATEE_TB
01JHO0096,,95.3975,5.5942,LABUY_TB
01JHO0097,,95.3978,5.5543,COTRAYA_KUTA_BARO_PL
01JHO0098,,95.3988,5.6147,LABUI_BAITUSSALAM_PL
01JHO0099,,95.4001,5.602,KAMPUNG_KELENG_TB
01JHO0100,,95.4005,5.6233,LAMNGA_ACEH_TB
01JHO0101,,95.401,5.525,KOTA_BARU_JHO_MT
01JHO0102,,95.401,5.5733,DAYAH_DARULIHSAN_PL
01JHO0103,,95.407,5.4371,INGIN_JAYA_ST
01JHO0104,,95.4075,5.4703,MEUNASAH_MANYANG_CM
01JHO0105,,95.4087,5.5278,BLANGBINTANG_LAMA_PL
01JHO0106,,95.4103,5.6357,UJUNG_BATEE1_TB
01JHO0107,,95.4117,5.5088,BLANG_BINTANG_ST
01JHO0109,,95.4132,5.615,NEUHEUN_ACEH_TB
01JHO0110,,95.4139,5.5151,COTLEUPON_MT
01JHO0111,,95.415,5.6259,NEUHEN_MT
01JHO0112,,95.4199,5.6443,UJONG_BATEE_EP
01JHO0113,,95.4234,5.4594,MONTASIK_TB
01JHO0114,,95.4241,5.4236,SIBREH1_MT
01JHO0115,,95.4383,5.4321,SEUREUMO_PL
01JHO0116,,95.4388,5.4503,PIYEUNG_MANEE_TB
01JHO0117,,95.4472,5.4112,INDRAPURI_NAD_MT
01JHO0119,,95.5181,5.5866,KRUENG_RAYA_MT
01JHO0120,,95.5238,5.3901,KEMIREU_TB
01JHO0122,,95.5783,5.3587,PASAR_SEULIMUM_TB
01JHO0124,,95.5956,5.3692,SEULIEUMUN_MT
01JHO0125,,95.5988,5.3009,JANTHO_EP
01JHO0126,,95.6092,5.5001,LAMTEBA_TB
01JHO0128,,95.6683,5.5875,LAMPANAH_TB
01JHO0129,,95.6941,5.3902,CINTA_ALAM_PL
01JHO0131,,95.7173,5.4393,SARE_EP
01JHO0132,,95.263,5.2455,LHOONG2_PL
01JHO0133,,95.327,5.4864,LAMKUNYET_MT
01JHO0134,,95.4981,5.396,LAMLEUPUNG_MT
01JHO0135,,95.5469,5.3718,LAMPISANG_DAYAH_MT
01JHO0136,,95.1708,5.5609,NT_PULO_BUNTA_PK
01JHO0138,,95.4758,5.418,SR_MUREU_ULEETITI_PL
01JHO0139,,95.4257,5.4897,SR_KAYEE_KUNYET_PL
01JKU097,,106.8223,-6.122,ANCOL_TEST
01KRB0001,,97.9449,4.2404,BLANGKANDIS_TB
01KRB0002,,97.9537,4.1678,PULO_TIGA_TB
01KRB0003,,97.9928,4.3554,ACEH_TAMIANG_TB
01KRB0004,,98.0482,4.2928,DESA_BUNDAR_MT
01KRB0005,,98.0484,4.2999,DALAM_KRB_TB
01KRB0006,,98.0525,4.2957,KUALA_SIMPANG2_TB
01KRB0007,,98.0536,4.2853,MENANG_GINI_MT
01KRB0009,,98.0565,4.4009,MEDANG_ARA_TB
01KRB0010,,98.0574,4.3095,KUALASIMPANG_BAHAGIA_PL
01KRB0011,,98.0583,4.27,BUKIT_RATA_PL
01KRB0012,,98.0583,4.2788,KUALA_SIMPANG_PL
01KRB0013,,98.0584,4.228,SUNGAI_LIPUT_MT
